index,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
44,AUS,HEALTHEXP,TOT,PC_GDP,A,2015,9.323
141,AUT,HEALTHEXP,TOT,PC_GDP,A,2015,10.368
191,BEL,HEALTHEXP,TOT,PC_GDP,A,2015,10.427
257,CAN,HEALTHEXP,TOT,PC_GDP,A,2015,10.683
319,CZE,HEALTHEXP,TOT,PC_GDP,A,2015,7.243
397,DNK,HEALTHEXP,TOT,PC_GDP,A,2015,10.227
496,FIN,HEALTHEXP,TOT,PC_GDP,A,2015,9.645
579,FRA,HEALTHEXP,TOT,PC_GDP,A,2015,11.466
661,DEU,HEALTHEXP,TOT,PC_GDP,A,2015,11.164
742,GRC,HEALTHEXP,TOT,PC_GDP,A,2015,8.017
787,HUN,HEALTHEXP,TOT,PC_GDP,A,2015,6.889
866,ISL,HEALTHEXP,TOT,PC_GDP,A,2015,8.131
951,IRL,HEALTHEXP,TOT,PC_GDP,A,2015,7.317
1020,ITA,HEALTHEXP,TOT,PC_GDP,A,2015,8.857
1120,JPN,HEALTHEXP,TOT,PC_GDP,A,2015,10.886
1194,KOR,HEALTHEXP,TOT,PC_GDP,A,2015,6.653
1288,LUX,HEALTHEXP,TOT,PC_GDP,A,2015,5.284
1333,MEX,HEALTHEXP,TOT,PC_GDP,A,2015,5.752
1401,NLD,HEALTHEXP,TOT,PC_GDP,A,2015,10.324
1473,NZL,HEALTHEXP,TOT,PC_GDP,A,2015,9.315
1559,NOR,HEALTHEXP,TOT,PC_GDP,A,2015,10.131
1619,POL,HEALTHEXP,TOT,PC_GDP,A,2015,6.398
1698,PRT,HEALTHEXP,TOT,PC_GDP,A,2015,8.977
1741,SVK,HEALTHEXP,TOT,PC_GDP,A,2015,6.793
1813,ESP,HEALTHEXP,TOT,PC_GDP,A,2015,9.127
1891,SWE,HEALTHEXP,TOT,PC_GDP,A,2015,10.828
1961,CHE,HEALTHEXP,TOT,PC_GDP,A,2015,11.369
2031,TUR,HEALTHEXP,TOT,PC_GDP,A,2015,4.139
2119,GBR,HEALTHEXP,TOT,PC_GDP,A,2015,9.904
2199,USA,HEALTHEXP,TOT,PC_GDP,A,2015,16.711
2268,BRA,HEALTHEXP,TOT,PC_GDP,A,2015,8.87
2286,CHL,HEALTHEXP,TOT,PC_GDP,A,2015,8.303
2326,CHN,HEALTHEXP,TOT,PC_GDP,A,2015,4.961
2345,EST,HEALTHEXP,TOT,PC_GDP,A,2015,6.346
2386,IND,HEALTHEXP,TOT,PC_GDP,A,2015,3.598
2404,IDN,HEALTHEXP,TOT,PC_GDP,A,2015,3.012
2447,ISR,HEALTHEXP,TOT,PC_GDP,A,2015,7.107
2491,RUS,HEALTHEXP,TOT,PC_GDP,A,2015,5.296
2509,SVN,HEALTHEXP,TOT,PC_GDP,A,2015,8.517
2546,ZAF,HEALTHEXP,TOT,PC_GDP,A,2015,8.201
6159,COL,HEALTHEXP,TOT,PC_GDP,A,2015,7.363
6304,LVA,HEALTHEXP,TOT,PC_GDP,A,2015,5.686
6402,LTU,HEALTHEXP,TOT,PC_GDP,A,2015,6.495
6623,OAVG,HEALTHEXP,TOT,PC_GDP,A,2015,8.707
6679,CRI,HEALTHEXP,TOT,PC_GDP,A,2015,7.823
6746,BGR,HEALTHEXP,TOT,PC_GDP,A,2015,7.413
6812,HRV,HEALTHEXP,TOT,PC_GDP,A,2015,6.786
6862,CYP,HEALTHEXP,TOT,PC_GDP,A,2015,6.926
6930,MLT,HEALTHEXP,TOT,PC_GDP,A,2015,9.211
6980,ROU,HEALTHEXP,TOT,PC_GDP,A,2015,4.943
